ids,lat,lon,t1_count,t2_count,theta,dx,dy,zdx,zdy,abs_dist,percentile_cat,lisa_cat
1644,3.58504548534,7.4517027646,30.0,33.0,5.89665457631,0.173854389094,-0.0707596431628,0.15191591009,-0.146696183311,0.298612093401,0,Hl
1645,3.58504548534,7.4518161196,30.0,33.0,4.86137724895,0.110111317559,-0.733583779772,0.0962165010925,-1.48812287932,1.58433938041,1,hL
1646,3.58504548534,7.4519294746,30.0,33.0,4.6782507017,-0.023449457985,-0.686629457482,-0.0204903987151,-1.39309649459,1.37260609588,1,lL
1647,3.58504548534,7.45204282961,30.0,33.0,5.68077308485,0.869802615414,-0.598149268283,0.760043255785,-1.21402985941,1.97407311519,1,Hl
1655,3.58515884034,7.4464884346,30.0,33.0,5.90197736839,0.212618417101,-0.0852204467623,0.185788351414,-0.175962027632,0.361750379046,0,Hl
1656,3.58515884034,7.44660178961,31.0,34.0,1.13193137636,0.115973682055,0.24707073594,0.101339100771,0.496530476346,0.395191375575,0,hH
1662,3.58515884034,7.44728191961,31.0,34.0,1.91704899493,-0.127804545037,0.354237604502,-0.111677041196,0.713415303674,0.82509234487,0,lH
1663,3.58515884034,7.44739527461,31.0,34.0,2.7859220542,-0.27884628008,0.103582491244,-0.243658998973,0.206138272188,0.449797271161,0,Lh
1664,3.58515884034,7.4475086296,31.0,34.0,1.21174669962,0.0676513145322,0.180250547922,0.0591144754499,0.361299456399,0.302184980949,0,hH
1666,3.58515884034,7.44773533961,31.0,34.0,3.47474465326,-0.03485578501,-0.0120618614203,-0.0304573748716,-0.0279033284993,0.0025540463723,0,Ll
1667,3.58515884034,7.4478486946,31.0,34.0,2.99528644061,-0.102719367521,0.0151366385784,-0.0897573324556,0.02714112745,0.116898459906,0,Lh
1668,3.58515884034,7.4479620496,31.0,34.0,3.81427755827,-0.218605630187,-0.174148596889,-0.191020045187,-0.355935248306,0.164915203119,0,Ll
1670,3.58515884034,7.4481887596,31.0,35.0,3.53722287408,-0.267227685077,-0.11160812083,-0.233506540682,-0.229365530138,0.00414101054419,0,Ll
1671,3.58515884034,7.44830211461,31.0,35.0,3.24260285545,-0.0719840934862,-0.00729595841124,-0.0629005061705,-0.0182580709206,0.0446424352499,0,Ll
1672,3.58515884034,7.44841546961,32.0,35.0,5.46623912195,0.30894475018,-0.329079844469,0.269959378856,-0.669485857091,0.939445235946,0,hL
1673,3.58515884034,7.4485288246,32.0,35.0,0.721482944065,0.19048627668,0.167569827966,0.166449039523,0.335636153971,0.169187114448,0,Hh
1674,3.58515884034,7.4486421796,32.0,36.0,1.00255889194,0.33996099698,0.532449751784,0.297061722287,1.07408190996,0.777020187675,0,hH
1675,3.58515884034,7.44875553461,32.0,36.0,2.97479317059,-0.464743800134,0.078246030565,-0.406098331621,0.154862220428,0.560960552049,0,Lh
1678,3.58515884034,7.44909559961,32.0,36.0,1.50221893568,0.0173748255105,0.252963543382,0.0151823169023,0.508456368571,0.493274051669,0,hH
1679,3.58515884034,7.4492089546,33.0,36.0,0.327069563053,0.280057463655,0.0950105856379,0.24471734473,0.188790408132,0.0559269365983,0,Hh
1683,3.58515884034,7.44966237461,33.0,36.0,5.7650833933,0.0676513145322,-0.0385642417163,0.0591144754499,-0.0815389740246,0.140653449474,0,Hl
1684,3.58515884034,7.44977572961,33.0,36.0,1.10884835796,0.048322367523,0.0970567893155,0.0422246253214,0.192931525039,0.150706899717,0,hH
1686,3.58515884034,7.4500024396,33.0,36.0,1.99612542851,-0.371795040107,0.820776341011,-0.324878665297,1.65759865686,1.98247732216,1,lH
1687,3.58515884034,7.4501157946,33.0,36.0,0.62986777403,0.983503774003,0.716887929487,0.859396600128,1.44734878675,0.587952186625,0,Hh
1688,3.58515884034,7.4502291496,33.0,36.0,3.6848682188,-0.434433062056,-0.262350184367,-0.379612469604,-0.534438047976,0.154825578372,0,Ll
1689,3.58515884034,7.45034250461,33.0,37.0,3.21119212254,-0.847264653637,-0.0590645720543,-0.740349332653,-0.123027641793,0.61732169086,0,Ll
1690,3.58515884034,7.4504558596,33.0,37.0,3.10781469692,-0.907311750152,0.0306587979291,-0.792819157332,0.0585549486776,0.851374106009,0,Lh
1691,3.58515884034,7.4505692146,33.0,37.0,0.0430976936268,0.347814912176,0.0149993083017,0.303924561247,0.0268631977712,0.277061363476,0,Hh
1692,3.58515884034,7.45068256961,33.0,37.0,6.07229178151,1.59202848822,-0.340816270087,1.39113230295,-0.693238092065,2.08437039501,1,Hl
1693,3.58515884034,7.4507959246,33.0,37.0,1.14662755758,0.164296049578,0.363823262577,0.143563726093,0.732814804883,0.589251078791,0,hH
1694,3.58515884034,7.4509092796,33.0,37.0,0.00365489918644,0.589532883781,0.00215469285165,0.515140428921,0.00086820285025,0.51427222607,0,Hh
1695,3.58515884034,7.4510226346,33.0,37.0,6.15790486648,1.77826312485,-0.223954485075,1.55386621183,-0.456732645898,2.01059885772,1,Hl
1696,3.58515884034,7.4511359896,34.0,37.0,6.22661182244,1.36269076415,-0.0771745165921,1.19073443406,-0.159678635208,1.35041306927,1,Hl
1697,3.58515884034,7.4512493446,34.0,37.0,1.95716825319,-0.60182571192,1.4793410821,-0.525882039668,2.9904051676,3.51628720727,3,lH
1698,3.58515884034,7.45136269961,34.0,37.0,0.705796964867,0.260940784624,0.222385931928,0.228012976735,0.446573250502,0.218560273766,0,Hh
1699,3.58515884034,7.4514760546,34.0,37.0,1.39288434151,0.202953943597,1.12869330277,0.17734342635,2.28076249451,2.10341906816,1,hH
1700,3.58515884034,7.4515894096,34.0,38.0,1.31390905428,0.367249993175,1.39802886248,0.320907152442,2.82584510394,2.5049379515,2,hH
1701,3.58515884034,7.4517027646,34.0,38.0,3.80387532981,-0.192078286517,-0.149776699413,-0.167840155528,-0.306611284224,0.138771128696,0,Ll
1702,3.58515884034,7.4518161196,34.0,38.0,3.95220981804,-0.360176445104,-0.378817075447,-0.314726207006,-0.770144305891,0.455418098885,0,lL
1703,3.58515884034,7.4519294746,34.0,38.0,5.2761423383,0.0385517600293,-0.0609812326322,0.0336869591901,-0.126906588748,0.160593547938,0,hL
1704,3.58515884034,7.45204282961,34.0,38.0,1.40448807325,0.0284627505681,0.16956376557,0.0248710698577,0.339671494547,0.314800424689,0,hH
1705,3.58515884034,7.4521561846,34.0,38.0,3.04921786368,-0.17427892505,0.0161449273351,-0.152286874358,0.0291817071162,0.181468581474,0,Lh
1706,3.58515884034,7.45226953961,34.0,38.0,0.810072603829,0.106309208551,0.111689291446,0.092894175707,0.222544853677,0.12965067797,0,hH
1711,3.58527219534,7.44637507961,34.0,38.0,1.45792719873,0.0289934205138,0.255784698053,0.0253347751928,0.514165835049,0.488831059856,0,hH
1712,3.58527219534,7.4464884346,35.0,38.0,5.81804841249,0.135302629064,-0.0679033827564,0.1182289509,-0.140915669675,0.259144620575,0,Hl
1713,3.58527219534,7.44660178961,35.0,39.0,5.62068474688,0.0289934205138,-0.0226183314707,0.0253347751928,-0.0492675636848,0.0746023388776,0,Hl
1715,3.58527219534,7.4468284996,35.0,39.0,4.38605129046,-0.03485578501,-0.102990166205,-0.0304573748716,-0.211924471853,0.181467096981,0,lL
1719,3.58527219534,7.44728191961,35.0,39.0,4.51707188624,-0.0116185950033,-0.0587274396265,-0.0101524582905,-0.122345351553,0.112192893263,0,lL
1720,3.58527219534,7.44739527461,35.0,39.0,3.464896473,-0.0929487600268,-0.0311434188555,-0.0812196663243,-0.0665206767991,0.0146989895252,0,Ll
1721,3.58527219534,7.4475086296,35.0,39.0,3.17185385972,-0.24399049507,-0.00738570126502,-0.213201624101,-0.0184396929425,0.194761931159,0,Ll
1722,3.58527219534,7.44762198461,35.0,39.0,3.90999174284,-0.0464743800134,-0.044920600299,-0.0406098331621,-0.0944030032916,0.0537931701295,0,Ll
1723,3.58527219534,7.44773533961,35.0,39.0,2.576199917,-0.13942314004,0.0884622438008,-0.121829499486,0.175537842225,0.297367341711,0,Lh
1724,3.58527219534,7.4478486946,36.0,39.0,4.41493376391,-0.0716656915188,-0.23378129981,-0.0626222829695,-0.476620201124,0.413997918155,0,lL
1725,3.58527219534,7.4479620496,36.0,40.0,3.25490358291,-0.803974293298,-0.0914909719396,-0.702521731501,-0.188652346837,0.513869384664,0,Ll
1726,3.58527219534,7.44807540461,36.0,40.0,4.08734535364,-0.0949028815255,-0.131526268492,-0.0829271995505,-0.269675973787,0.186748774236,0,lL
1727,3.58527219534,7.4481887596,36.0,40.0,2.86395035851,-0.27710442656,0.0789757017403,-0.242136947881,0.156338932484,0.398475880365,0,Lh
1728,3.58527219534,7.44830211461,36.0,40.0,5.95657252519,0.200893688109,-0.0680516563165,0.175543152056,-0.141215746424,0.31675889848,0,Hl
1729,3.58527219534,7.44841546961,36.0,40.0,6.08232708675,0.196242507187,-0.0399556960603,0.171478898135,-0.0843550060611,0.255833904196,0,Hl
1730,3.58527219534,7.4485288246,36.0,40.0,0.770294521868,0.424918432235,0.412272833874,0.371298479627,0.830867281791,0.459568802164,0,Hh
1731,3.58527219534,7.4486421796,36.0,41.0,0.207956295939,1.2650096843,0.266925674245,1.10537961374,0.536712996594,0.568666617148,0,Hh
1732,3.58527219534,7.44875553461,36.0,41.0,3.2765601665,-0.185897520054,-0.0252435934384,-0.162439332649,-0.0545805815624,0.107858751086,0,Ll
1733,3.58527219534,7.4488688896,36.0,41.0,4.42363938718,-0.0464743800134,-0.156452245024,-0.0406098331621,-0.320121285745,0.279511452583,0,lL
1734,3.58527219534,7.44898224461,37.0,41.0,3.9103299364,-0.0116185950033,-0.0112377528812,-0.0101524582905,-0.0262354936489,0.0160830353583,0,Ll
1735,3.58527219534,7.44909559961,37.0,41.0,3.08122393282,-0.0620012180142,0.00374748775035,-0.0541773579052,0.00409170887601,0.0582690667812,0,Lh
1736,3.58527219534,7.4492089546,37.0,41.0,3.38106989059,-0.883437756211,-0.21570255156,-0.771957794349,-0.440032342907,0.331925451441,0,Ll
1737,3.58527219534,7.4493223096,37.0,41.0,4.17351231103,-0.03485578501,-0.0582966548965,-0.0304573748716,-0.121473527332,0.0910161524601,0,lL
1739,3.58527219534,7.4495490196,37.0,41.0,4.22141325573,-0.03485578501,-0.0651946108485,-0.0304573748716,-0.135433643976,0.104976269105,0,lL
1741,3.58527219534,7.44977572961,37.0,42.0,6.12008023232,0.0712411555623,-0.0117239439309,0.0622513187014,-0.0272194494484,0.0894707681498,0,Hl
1743,3.58527219534,7.4500024396,37.0,42.0,4.58551126159,-0.0697115700201,-0.54648757369,-0.0609147497432,-1.10947667183,1.04856192209,1,lL
1744,3.58527219534,7.4501157946,37.0,42.0,4.89360196592,0.071028887584,-0.387663689186,0.0620658365673,-0.788048125598,0.850113962165,0,hL
