ids,lat,lon,t1_count,t2_count,theta,dx,dy,zdx,zdy,abs_dist,lisa_cat
2298,31.638708,65.707751,123.0,124.0,3.15497339366,-0.135944009051,-0.00181914001965,-0.118789248977,-0.200685669293,0.0818964203155,Ll
2299,31.638708,65.708751,123.0,124.0,3.14327086666,-0.129974290285,-0.00021812475767,-0.113572848389,0.016722350299,0.130295198688,Ll
2300,31.638708,65.709751,124.0,124.0,0.0112878581954,0.507774064354,0.00573192508161,0.443698109066,0.824702500612,0.381004391546,Hh
2301,31.638708,65.710751,124.0,125.0,6.28304993976,3.32357018709,-0.000449903139306,2.90416921793,-0.0147517275142,2.91892094544,Hl
2302,31.638708,65.711751,125.0,125.0,3.13841876008,-1.11930831175,0.0035525773189,-0.978062914692,0.528760486602,1.50682340129,Lh
2303,31.638708,65.712751,125.0,125.0,6.18216488252,0.0333596893136,-0.00338152076333,0.0291500336597,-0.412847359064,0.441997392723,Hl
2304,31.638708,65.713751,125.0,127.0,3.19868228605,-0.0464448560791,-0.00265440415783,-0.0405839846199,-0.314109398865,0.273525414246,Ll
2305,31.638708,65.714751,125.0,128.0,3.14447003623,-0.481666853779,-0.00138594366824,-0.420885364623,-0.141860270753,0.27902509387,Ll
2306,31.638708,65.715751,126.0,130.0,3.14859988782,-0.413801745918,-0.00289965321808,-0.36158414752,-0.347412711934,0.0141714355862,Ll
2307,31.638708,65.716751,126.0,130.0,3.14730675551,-0.377311919262,-0.00215602222776,-0.329698968217,-0.24643219991,0.0832667683071,Ll
2308,31.638708,65.717751,126.0,131.0,3.14835687639,-0.346043534722,-0.00234075126633,-0.302376337803,-0.271517266486,0.0308590713165,Ll
2309,31.638708,65.718751,128.0,133.0,3.18324305407,-0.0692547644983,-0.00288615779582,-0.0605155131166,-0.345580116644,0.285064603528,Ll
2310,31.638708,65.719751,128.0,133.0,3.15185061328,-0.191091268655,-0.00196027528952,-0.166977481745,-0.219850970365,0.0528734886199,Ll
2311,31.638708,65.720751,128.0,135.0,3.20645823677,-0.0250547383717,-0.00162747341171,-0.0218930835957,-0.174658523492,0.152765439896,Ll
2312,31.638708,65.721751,129.0,136.0,3.14020908607,-0.323233626302,0.000447215831276,-0.282444809306,0.107071507632,0.389516316938,Lh
2313,31.638708,65.722751,129.0,137.0,0.000340893945065,0.193854087489,6.60836872109e-05,0.169391660763,0.0553161080351,0.114075552728,Hh
2314,31.638708,65.723751,129.0,138.0,3.13122727486,-0.123333057458,0.00127843963613,-0.107769672028,0.219946584805,0.327716256832,Lh
2315,31.638708,65.724751,130.0,138.0,3.14528959284,-0.299568544568,-0.00110749175627,-0.261766021724,-0.104048214759,0.157717806965,Ll
2316,31.638708,65.725751,130.0,139.0,3.14273823851,-0.761739286525,-0.000872637424026,-0.665615486806,-0.0721564417833,0.593459045023,Ll
2317,31.638708,65.726751,131.0,139.0,6.28077373699,0.0368406507235,-8.88439873826e-05,0.0321917329188,0.0342778832829,0.00208615036406,Hl
2318,31.638708,65.727751,131.0,140.0,0.00817367258705,0.430244482989,0.00351675585357,0.375951977345,0.523896152063,0.147944174719,Hh
2319,31.638708,65.728751,132.0,140.0,0.00571412955261,0.947118403451,0.00541201616218,0.827601632642,0.781260838141,0.0463407945013,Hh
2320,31.638708,65.729751,133.0,141.0,0.0104556669153,0.569883246778,0.00595872654844,0.497969740352,0.855500744024,0.357531003672,Hh
2321,31.638708,65.730751,133.0,142.0,0.00744188966702,0.601044734655,0.00447299117453,0.525198963381,0.653747023775,0.128548060395,Hh
2322,31.638708,65.731751,133.0,142.0,0.0148153674582,0.43870295911,0.00650002112548,0.383343079262,0.929005216345,0.545662137083,Hh
2323,31.638708,65.732751,134.0,142.0,0.00639309431258,0.831144721396,0.00531365898417,0.726262657217,0.767904538677,0.0416418814603,Hh
2324,31.638708,65.733751,135.0,143.0,0.0254469172766,0.212618417101,0.00541165141891,0.185788121614,0.78121130825,0.595423186636,Hh
2325,31.638708,65.734751,135.0,143.0,3.13191316354,-0.342913397379,0.00331933048245,-0.299641192159,0.497087001662,0.796728193822,Lh
2326,31.638708,65.735751,136.0,144.0,3.13059915381,-0.251810794442,0.00276839344167,-0.220034817017,0.422273142107,0.642307959124,Lh
2327,31.638708,65.736751,136.0,144.0,0.00811531951271,0.216420068504,0.001756356562,0.18911004303,0.284844762135,0.0957347191057,Hh
2328,31.638708,65.737751,137.0,144.0,0.0868681362763,0.0289934205138,0.0025249587762,0.0253347438564,0.389216212685,0.363881468828,Hh
2329,31.638708,65.738751,137.0,145.0,0.0232795900337,0.144967102569,0.00337538448939,0.126673719282,0.504698790837,0.378025071555,Hh
2330,31.638708,65.739751,138.0,145.0,0.214167878338,0.0193289470092,0.0042041149335,0.0168898292376,0.617235284965,0.600345455728,Hh
2350,31.639708,65.702751,138.0,145.0,3.1452357459,-0.364196618422,-0.00132680776897,-0.318238685798,-0.133829979567,0.184408706231,Ll
2351,31.639708,65.703751,140.0,145.0,3.14950484066,-0.232588744097,-0.00184032405764,-0.203238395165,-0.20356233128,0.000323936114638,Ll
2352,31.639708,65.704751,141.0,146.0,3.15027467231,-0.164616739571,-0.00142924152539,-0.143843770677,-0.147739853289,0.0038960826124,Ll
2353,31.639708,65.705751,141.0,148.0,3.15819429991,-0.110431549947,-0.0018335139852,-0.0964962043799,-0.202637565354,0.106141360974,Ll
2354,31.639708,65.706751,143.0,148.0,3.31497179801,-0.009771370169,-0.00171133401667,-0.00853832200447,-0.186046277549,0.177507955545,Ll
2355,31.639708,65.707751,143.0,149.0,3.16030758258,-0.108477275913,-0.00203038156771,-0.094788539979,-0.229370971494,0.134582431515,Ll
2356,31.639708,65.708751,143.0,149.0,6.27635439773,0.241291147622,-0.00164826361758,0.210842643313,-0.177481705501,0.388324348814,Hl
2357,31.639708,65.709751,143.0,149.0,0.0381532090792,0.153990196087,0.00587807259711,0.134558189587,0.844548433794,0.709990244207,Hh
2358,31.639708,65.710751,144.0,150.0,0.000123704959057,1.39745374973,0.000172871959776,1.22110920937,0.069817298252,1.15129191112,Hh
