ID,lat,lon,COUNTt1,COUNTt2
706,31.610708,65.711751,155,173
707,31.610708,65.712751,265,276
708,31.610708,65.713751,345,287
709,31.610708,65.714751,154,116
710,31.610708,65.715751,136,167
711,31.610708,65.716751,675,631
712,31.610708,65.717751,6,13
713,31.610708,65.718751,36,23
714,31.610708,65.719751,0,12
715,31.610708,65.720751,0,3
717,31.610708,65.722751,4,2
718,31.610708,65.723751,1,1
719,31.610708,65.724751,0,23
720,31.610708,65.725751,3,27
721,31.610708,65.726751,24,32
722,31.610708,65.727751,3,0
723,31.610708,65.728751,3,3
724,31.610708,65.729751,0,1
726,31.610708,65.731751,3,0
737,31.610708,65.742751,0,1
738,31.610708,65.743751,4,27
745,31.611708,65.693751,0,2
747,31.611708,65.695751,19,3
749,31.611708,65.697751,111,81
752,31.611708,65.700751,1,1
753,31.611708,65.701751,196,144
754,31.611708,65.702751,373,171
757,31.611708,65.705751,0,3
758,31.611708,65.706751,207,116
759,31.611708,65.707751,3,26
761,31.611708,65.709751,54,85
762,31.611708,65.710751,5,16
763,31.611708,65.711751,0,18
764,31.611708,65.712751,34,11
765,31.611708,65.713751,102,94
767,31.611708,65.715751,0,3
768,31.611708,65.716751,810,996
769,31.611708,65.717751,11,2
770,31.611708,65.718751,11,32
771,31.611708,65.719751,0,4
772,31.611708,65.720751,0,3
774,31.611708,65.722751,5,8
775,31.611708,65.723751,8,59
776,31.611708,65.724751,2,27
777,31.611708,65.725751,37,63
778,31.611708,65.726751,33,79
779,31.611708,65.727751,6,0
780,31.611708,65.728751,3,0
782,31.611708,65.730751,1,0
783,31.611708,65.731751,2,0
784,31.611708,65.732751,1,0
795,31.611708,65.743751,33,65
804,31.612708,65.695751,66,4
805,31.612708,65.696751,1,8
806,31.612708,65.697751,100,66
807,31.612708,65.698751,1,0
808,31.612708,65.699751,4,6
809,31.612708,65.700751,44,17
810,31.612708,65.701751,410,409
811,31.612708,65.702751,535,502
812,31.612708,65.703751,103,101
813,31.612708,65.704751,166,125
814,31.612708,65.705751,105,63
815,31.612708,65.706751,349,184
816,31.612708,65.707751,48,84
817,31.612708,65.708751,26,15
818,31.612708,65.709751,173,163
819,31.612708,65.710751,2,29
820,31.612708,65.711751,1,71
821,31.612708,65.712751,216,135
822,31.612708,65.713751,26,100
823,31.612708,65.714751,0,1
824,31.612708,65.715751,3,1
825,31.612708,65.716751,829,952
826,31.612708,65.717751,5,1
827,31.612708,65.718751,29,23
828,31.612708,65.719751,0,8
829,31.612708,65.720751,8,32
830,31.612708,65.721751,0,4
831,31.612708,65.722751,7,18
832,31.612708,65.723751,8,73
833,31.612708,65.724751,8,10
834,31.612708,65.725751,69,52
835,31.612708,65.726751,21,23
836,31.612708,65.727751,14,16
837,31.612708,65.728751,10,5
838,31.612708,65.729751,6,3
839,31.612708,65.730751,18,0
840,31.612708,65.731751,3,0
842,31.612708,65.733751,3,0
844,31.612708,65.735751,6,0
845,31.612708,65.736751,4,0
846,31.612708,65.737751,13,0
847,31.612708,65.738751,1,0
849,31.612708,65.740751,0,3
852,31.612708,65.743751,47,31
853,31.612708,65.744751,1,0
859,31.613708,65.693751,29,0
860,31.613708,65.694751,36,30
861,31.613708,65.695751,106,15
862,31.613708,65.696751,71,33
863,31.613708,65.697751,108,84
864,31.613708,65.698751,177,136
865,31.613708,65.699751,465,312
866,31.613708,65.700751,166,100
867,31.613708,65.701751,72,98
868,31.613708,65.702751,719,381
871,31.613708,65.705751,4,0
872,31.613708,65.706751,222,182
873,31.613708,65.707751,12,37
874,31.613708,65.708751,10,34
875,31.613708,65.709751,131,245
876,31.613708,65.710751,14,106
877,31.613708,65.711751,73,186
878,31.613708,65.712751,288,365
879,31.613708,65.713751,426,291
880,31.613708,65.714751,43,93
881,31.613708,65.715751,69,160
882,31.613708,65.716751,1464,1807
883,31.613708,65.717751,815,850
884,31.613708,65.718751,656,661
885,31.613708,65.719751,644,624
886,31.613708,65.720751,786,753
887,31.613708,65.721751,593,580
888,31.613708,65.722751,536,593
889,31.613708,65.723751,497,676
890,31.613708,65.724751,293,316
891,31.613708,65.725751,197,249
892,31.613708,65.726751,9,3
893,31.613708,65.727751,34,6
894,31.613708,65.728751,33,10
895,31.613708,65.729751,24,12
896,31.613708,65.730751,22,0
897,31.613708,65.731751,35,3
898,31.613708,65.732751,39,0
899,31.613708,65.733751,0,6
900,31.613708,65.734751,9,0
901,31.613708,65.735751,28,0
902,31.613708,65.736751,8,0
903,31.613708,65.737751,7,0
904,31.613708,65.738751,2,0
909,31.613708,65.743751,43,3
915,31.614708,65.692751,0,5
916,31.614708,65.693751,17,0
917,31.614708,65.694751,0,4
918,31.614708,65.695751,20,74
919,31.614708,65.696751,29,33
920,31.614708,65.697751,95,71
921,31.614708,65.698751,34,26
922,31.614708,65.699751,61,26
923,31.614708,65.700751,33,18
924,31.614708,65.701751,0,12
925,31.614708,65.702751,654,376
928,31.614708,65.705751,0,6
929,31.614708,65.706751,282,184
930,31.614708,65.707751,4,6
932,31.614708,65.709751,90,82
933,31.614708,65.710751,0,6
934,31.614708,65.711751,0,28
935,31.614708,65.712751,2,13
936,31.614708,65.713751,585,263
937,31.614708,65.714751,3,0
939,31.614708,65.716751,656,837
940,31.614708,65.717751,19,30
941,31.614708,65.718751,0,3
943,31.614708,65.720751,41,70
944,31.614708,65.721751,215,238
945,31.614708,65.722751,20,10
946,31.614708,65.723751,89,49
947,31.614708,65.724751,51,125
948,31.614708,65.725751,408,617
949,31.614708,65.726751,448,658
950,31.614708,65.727751,477,778
951,31.614708,65.728751,680,857
952,31.614708,65.729751,192,327
953,31.614708,65.730751,62,63
954,31.614708,65.731751,2,4
956,31.614708,65.733751,1,1
958,31.614708,65.735751,8,0
959,31.614708,65.736751,2,0
960,31.614708,65.737751,27,0
961,31.614708,65.738751,1,0
965,31.614708,65.742751,62,10
966,31.614708,65.743751,34,1
972,31.615708,65.692751,3,3
973,31.615708,65.693751,15,36
974,31.615708,65.694751,19,25
975,31.615708,65.695751,0,22
976,31.615708,65.696751,1,2
977,31.615708,65.697751,0,1
978,31.615708,65.698751,0,62
979,31.615708,65.699751,5,16
980,31.615708,65.700751,86,120
981,31.615708,65.701751,21,0
982,31.615708,65.702751,890,602
983,31.615708,65.703751,34,28
984,31.615708,65.704751,187,140
985,31.615708,65.705751,213,227
986,31.615708,65.706751,567,382
987,31.615708,65.707751,135,102
988,31.615708,65.708751,89,155
989,31.615708,65.709751,154,239
990,31.615708,65.710751,11,17
991,31.615708,65.711751,0,3
992,31.615708,65.712751,0,3
993,31.615708,65.713751,463,502
994,31.615708,65.714751,0,7
995,31.615708,65.715751,4,32
996,31.615708,65.716751,561,718
997,31.615708,65.717751,0,66
998,31.615708,65.718751,4,77
999,31.615708,65.719751,5,20
1000,31.615708,65.720751,72,41
1001,31.615708,65.721751,189,235
1002,31.615708,65.722751,1,33
1003,31.615708,65.723751,45,39
1004,31.615708,65.724751,14,32
1005,31.615708,65.725751,5,13
1006,31.615708,65.726751,0,7
1007,31.615708,65.727751,0,6
1008,31.615708,65.728751,45,14
1009,31.615708,65.729751,334,298
1010,31.615708,65.730751,566,575
1011,31.615708,65.731751,407,345
1012,31.615708,65.732751,356,215
1013,31.615708,65.733751,498,340
1014,31.615708,65.734751,328,297
1015,31.615708,65.735751,400,244
1016,31.615708,65.736751,592,366
